Starting Impala Shell without Kerberos authentication
Opened TCP connection to test4:21000
Connected to test4:21000
Server version: impalad version 3.2.0-cdh6.3.2 RELEASE (build 1bb9836227301b839a32c6bc230e35439d5984ac)
Query: use tpc_test
Query: with inv as
(select w_warehouse_name,w_warehouse_sk,i_item_sk,d_moy
,stdev,mean, case mean when 0 then null else stdev/mean end cov
from(select w_warehouse_name,w_warehouse_sk,i_item_sk,d_moy
,stddev_samp(inv_quantity_on_hand) stdev,avg(inv_quantity_on_hand) mean
from inventory
,item
,warehouse
,date_dim
where inv_item_sk = i_item_sk
and inv_warehouse_sk = w_warehouse_sk
and inv_date_sk = d_date_sk
and d_year =2001
group by w_warehouse_name,w_warehouse_sk,i_item_sk,d_moy) foo
where case mean when 0 then 0 else stdev/mean end > 1)
select inv1.w_warehouse_sk,inv1.i_item_sk,inv1.d_moy,inv1.mean, inv1.cov
,inv2.w_warehouse_sk,inv2.i_item_sk,inv2.d_moy,inv2.mean, inv2.cov
from inv inv1,inv inv2
where inv1.i_item_sk = inv2.i_item_sk
and inv1.w_warehouse_sk =  inv2.w_warehouse_sk
and inv1.d_moy=1
and inv2.d_moy=1+1
order by inv1.w_warehouse_sk,inv1.i_item_sk,inv1.d_moy,inv1.mean,inv1.cov
,inv2.d_moy,inv2.mean, inv2.cov
Query submitted at: 2020-06-10 02:21:48 (Coordinator: http://test4:25000)
Query progress can be monitored at: http://test4:25000/query_plan?query_id=284cee1a0c74269a:c6ce94e100000000
+----------------+-----------+-------+-------------------+-------------------+----------------+-----------+-------+-------------------+-------------------+
| w_warehouse_sk | i_item_sk | d_moy | mean              | cov               | w_warehouse_sk | i_item_sk | d_moy | mean              | cov               |
+----------------+-----------+-------+-------------------+-------------------+----------------+-----------+-------+-------------------+-------------------+
| 1              | 265       | 1     | 324.75            | 1.243839178153135 | 1              | 265       | 2     | 329               | 1.015158132814921 |
| 1              | 363       | 1     | 499.5             | 1.031941572270649 | 1              | 363       | 2     | 321               | 1.141176675200798 |
| 1              | 679       | 1     | 373.75            | 1.09554980648675  | 1              | 679       | 2     | 417.5             | 1.042970994259454 |
| 1              | 695       | 1     | 450.75            | 1.083588828356451 | 1              | 695       | 2     | 368.75            | 1.135649412556942 |
| 1              | 789       | 1     | 357.25            | 1.03450938027956  | 1              | 789       | 2     | 410               | 1.02842218527026  |
| 1              | 815       | 1     | 216.5             | 1.170227093811101 | 1              | 815       | 2     | 150.5             | 1.305728147124938 |
| 1              | 827       | 1     | 271.75            | 1.104689013413044 | 1              | 827       | 2     | 424.75            | 1.165319863123829 |
| 1              | 1041      | 1     | 382.5             | 1.284808399803008 | 1              | 1041      | 2     | 424.75            | 1.000577271456812 |
| 1              | 1569      | 1     | 212               | 1.630213519639535 | 1              | 1569      | 2     | 239.25            | 1.264151326780056 |
| 1              | 1623      | 1     | 338.25            | 1.128548327971371 | 1              | 1623      | 2     | 261.3333333333333 | 1.271780900219556 |
| 1              | 2581      | 1     | 448.5             | 1.060429041250449 | 1              | 2581      | 2     | 476.25            | 1.036298473939006 |
| 1              | 2705      | 1     | 246.25            | 1.012030835795969 | 1              | 2705      | 2     | 294.6666666666667 | 1.07421341015837  |
| 1              | 3131      | 1     | 393.75            | 1.003761398268735 | 1              | 3131      | 2     | 480.5             | 1.066914498148277 |
| 1              | 3291      | 1     | 374.5             | 1.195189833087008 | 1              | 3291      | 2     | 265.25            | 1.572972106948466 |
| 1              | 3687      | 1     | 279.75            | 1.42609090819997  | 1              | 3687      | 2     | 157.25            | 1.453434088253178 |
| 1              | 4955      | 1     | 495.25            | 1.03182961516253  | 1              | 4955      | 2     | 322.5             | 1.169384234377615 |
| 1              | 5627      | 1     | 282.75            | 1.565703236635989 | 1              | 5627      | 2     | 297.5             | 1.208428684143068 |
| 1              | 7017      | 1     | 175.5             | 1.042745421564443 | 1              | 7017      | 2     | 321.3333333333333 | 1.018335693293625 |
| 1              | 7317      | 1     | 366.3333333333333 | 1.025466403613547 | 1              | 7317      | 2     | 378               | 1.217251318992056 |
| 1              | 7569      | 1     | 430.5             | 1.087439685218085 | 1              | 7569      | 2     | 360.25            | 1.047005559314515 |
