Starting Impala Shell without Kerberos authentication
Opened TCP connection to test4:21000
Connected to test4:21000
Server version: impalad version 3.2.0-cdh6.3.2 RELEASE (build 1bb9836227301b839a32c6bc230e35439d5984ac)
Query: use tpc_test
Query: with ws as
(select d_year AS ws_sold_year, ws_item_sk,
ws_bill_customer_sk ws_customer_sk,
sum(ws_quantity) ws_qty,
sum(ws_wholesale_cost) ws_wc,
sum(ws_sales_price) ws_sp
from web_sales
left join web_returns on wr_order_number=ws_order_number and ws_item_sk=wr_item_sk
join date_dim on ws_sold_date_sk = d_date_sk
where wr_order_number is null
group by d_year, ws_item_sk, ws_bill_customer_sk
),
cs as
(select d_year AS cs_sold_year, cs_item_sk,
cs_bill_customer_sk cs_customer_sk,
sum(cs_quantity) cs_qty,
sum(cs_wholesale_cost) cs_wc,
sum(cs_sales_price) cs_sp
from catalog_sales
left join catalog_returns on cr_order_number=cs_order_number and cs_item_sk=cr_item_sk
join date_dim on cs_sold_date_sk = d_date_sk
where cr_order_number is null
group by d_year, cs_item_sk, cs_bill_customer_sk
),
ss as
(select d_year AS ss_sold_year, ss_item_sk,
ss_customer_sk,
sum(ss_quantity) ss_qty,
sum(ss_wholesale_cost) ss_wc,
sum(ss_sales_price) ss_sp
from store_sales
left join store_returns on sr_ticket_number=ss_ticket_number and ss_item_sk=sr_item_sk
join date_dim on ss_sold_date_sk = d_date_sk
where sr_ticket_number is null
group by d_year, ss_item_sk, ss_customer_sk
)
select
ss_customer_sk,
round(ss_qty/(coalesce(ws_qty,0)+coalesce(cs_qty,0)),2) ratio,
ss_qty store_qty, ss_wc store_wholesale_cost, ss_sp store_sales_price,
coalesce(ws_qty,0)+coalesce(cs_qty,0) other_chan_qty,
coalesce(ws_wc,0)+coalesce(cs_wc,0) other_chan_wholesale_cost,
coalesce(ws_sp,0)+coalesce(cs_sp,0) other_chan_sales_price
from ss
left join ws on (ws_sold_year=ss_sold_year and ws_item_sk=ss_item_sk and ws_customer_sk=ss_customer_sk)
left join cs on (cs_sold_year=ss_sold_year and cs_item_sk=ss_item_sk and cs_customer_sk=ss_customer_sk)
where (coalesce(ws_qty,0)>0 or coalesce(cs_qty, 0)>0) and ss_sold_year=2001
order by
ss_customer_sk,
ss_qty desc, ss_wc desc, ss_sp desc,
other_chan_qty,
other_chan_wholesale_cost,
other_chan_sales_price,
ratio
limit 100
Query submitted at: 2020-06-10 02:22:24 (Coordinator: http://test4:25000)
Query progress can be monitored at: http://test4:25000/query_plan?query_id=5840ef8e386eb9da:6df53a6400000000
+----------------+--------------------+-----------+----------------------+-------------------+----------------+---------------------------+------------------------+
| ss_customer_sk | ratio              | store_qty | store_wholesale_cost | store_sales_price | other_chan_qty | other_chan_wholesale_cost | other_chan_sales_price |
+----------------+--------------------+-----------+----------------------+-------------------+----------------+---------------------------+------------------------+
| 373            | 1.69               | 98        | 73.85                | 9.65              | 58             | 79.31                     | 89.33                  |
| 1302           | 0.48               | 10        | 73.37                | 24.85             | 21             | 46.46                     | 88.08                  |
| 1861           | 0.63               | 48        | 51.02                | 12.98             | 76             | 19.12                     | 11.83                  |
| 2415           | 0.82               | 69        | 87.49                | 34.29             | 84             | 65.79                     | 7.99                   |
| 4169           | 0.47               | 26        | 67.91                | 86.43             | 55             | 87.94                     | 14.35                  |
| 4843           | 0.37               | 35        | 39.85                | 11.10             | 95             | 29.53                     | 17.50                  |
| 5138           | 0.95               | 18        | 68.02                | 58.11             | 19             | 92.98                     | 201.76                 |
| 5146           | 0.8100000000000001 | 39        | 35.53                | 9.32              | 48             | 65.81                     | 64.99                  |
| 5835           | 0.58               | 25        | 34.22                | 40.31             | 43             | 95.47                     | 69.16                  |
| 5838           | 4.33               | 26        | 33.23                | 37.48             | 6              | 54.20                     | 37.72                  |
| 6072           | 5.67               | 17        | 8.58                 | 11.18             | 3              | 98.93                     | 133.01                 |
| 6128           | 0.86               | 42        | 74.15                | 49.77             | 49             | 77.31                     | 172.97                 |
| 6292           | 0.01               | 1         | 94.97                | 10.99             | 86             | 79.39                     | 28.32                  |
| 6426           | 0.03               | 1         | 46.00                | 33.38             | 37             | 81.77                     | 116.74                 |
| 6529           | 2.79               | 39        | 82.20                | 62.14             | 14             | 82.37                     | 128.78                 |
| 6968           | NULL               | NULL      | 74.10                | NULL              | 11             | 84.51                     | 123.82                 |
| 7005           | 0.75               | 21        | 41.62                | 32.77             | 28             | 38.70                     | 10.21                  |
| 7161           | 1.08               | 92        | 83.91                | 40.13             | 85             | 33.67                     | 37.89                  |
| 7244           | 0.53               | 52        | 47.94                | 29.51             | 99             | 77.00                     | 56.54                  |
| 8030           | 0.75               | 74        | 30.43                | 28.03             | 99             | 17.36                     | 21.48                  |
| 8322           | 0.64               | 54        | 76.27                | 12.96             | 84             | 44.96                     | 84.16                  |
| 9555           | 0.58               | 45        | 70.72                | 54.45             | 78             | 29.16                     | 11.54                  |
| 9686           | 0.65               | 62        | 54.84                | 49.50             | 95             | 31.53                     | 36.18                  |
| 9932           | 0.13               | 2         | 31.75                | 12.86             | 15             | 65.47                     | 43.23                  |
| 10604          | 92                 | 92        | 75.75                | 104.98            | 1              | 58.64                     | 5.39                   |
| 11485          | 3.5                | 91        | 31.65                | 9.91              | 26             | 3.66                      | 1.27                   |
| 12313          | 1.79               | 61        | 47.28                | 59.54             | 34             | 39.55                     | 57.47                  |
| 12351          | 4.67               | 14        | 49.04                | 11.67             | 3              | 83.46                     | 23.62                  |
| 12954          | 2.1                | 63        | 78.38                | 112.10            | 30             | 51.41                     | 14.87                  |
| 13798          | 4.92               | 64        | 42.77                | 45.03             | 13             | 2.28                      | 1.58                   |
| 14070          | 0.16               | 13        | 6.18                 | 5.29              | 83             | 21.99                     | 39.59                  |
| 15217          | 0.65               | 63        | 77.94                | 32.95             | 97             | 90.71                     | 42.72                  |
| 15894          | 1.18               | 100       | 93.86                | 31.42             | 85             | 96.22                     | 109.41                 |
| 15926          | 2.4                | 72        | 14.29                | 0.00              | 30             | 16.44                     | 2.10                   |
| 16065          | 42                 | 84        | 40.51                | 57.50             | 2              | 6.94                      | 7.89                   |
| 16602          | 1.02               | 52        | 97.93                | 116.13            | 51             | 75.05                     | 98.46                  |
| 17427          | 2.63               | 92        | 52.80                | 52.56             | 35             | 55.82                     | 54.40                  |
| 19171          | 1.67               | 20        | 32.85                | 38.10             | 12             | 80.56                     | 20.51                  |
| 19186          | 0.14               | 5         | 88.62                | 19.88             | 36             | 33.45                     | 19.33                  |
| 19240          | 0.25               | 16        | 62.07                | 85.00             | 64             | 37.07                     | 8.74                   |
| 20034          | 4.56               | 73        | 29.82                | 30.56             | 16             | 27.41                     | 51.61                  |
| 20586          | 0.5600000000000001 | 41        | 38.01                | 33.20             | 73             | 65.36                     | 2.05                   |
| 21195          | 0.9                | 54        | 19.31                | 27.71             | 60             | 31.48                     | 14.93                  |
| 21385          | 0.86               | 62        | 34.41                | 44.55             | 72             | 93.19                     | 102.40                 |
| 22265          | 0.38               | 21        | 4.49                 | 4.35              | 56             | 88.99                     | 216.24                 |
| 22794          | 0.32               | 29        | 96.94                | 62.69             | 90             | 87.83                     | 168.05                 |
| 23674          | 0.22               | 11        | 23.54                | 2.99              | 50             | 7.17                      | 2.19                   |
| 23682          | 0.1                | 7         | 82.27                | 98.47             | 71             | 18.91                     | 27.42                  |
| 23783          | 0.91               | 39        | 93.87                | 79.41             | 43             | 39.61                     | 77.22                  |
| 24083          | 4.88               | 39        | 79.98                | 6.84              | 8              | 77.36                     | 60.10                  |
| 24114          | 0.44               | 31        | 67.38                | 39.46             | 70             | 78.26                     | 44.75                  |
