文件名,SQL,执行时长
/root/tpc_ds_test/sql/query/query_s_0.sql,use tpc_test; select count(*) from store_sales ，household_demographics ，time_dim， store where ss_sold_time_sk = time_dim.t_time_sk and ss_hdemo_sk = household_demographics.hd_demo_sk and ss_store_sk = s_store_sk and time_dim.t_hour = 8 and time_dim.t_minute >= 30 and household_demographics.hd_dep_count = 5 and store.s_store_name = ese order by count(*) limit 100;,Fetched 1 row(s) in 0.75s
/root/tpc_ds_test/sql/query/query_s_10.sql,use tpc_test; select s_store_name， s_store_id， sum(case when (d_day_name=Sunday) then ss_sales_price else null end) sun_sales， sum(case when (d_day_name=Monday) then ss_sales_price else null end) mon_sales， sum(case when (d_day_name=Tuesday) then ss_sales_price else null end) tue_sales， sum(case when (d_day_name=Wednesday) then ss_sales_price else null end) wed_sales， sum(case when (d_day_name=Thursday) then ss_sales_price else null end) thu_sales， sum(case when (d_day_name=Friday) then ss_sales_price else null end) fri_sales， sum(case when (d_day_name=Saturday) then ss_sales_price else null end) sat_sales from date_dim， store_sales， store where d_date_sk = ss_sold_date_sk and s_store_sk = ss_store_sk and s_gmt_offset = -5 and d_year = 2000 group by s_store_name， s_store_id order by s_store_name， s_store_id，sun_sales，mon_sales，tue_sales，wed_sales，thu_sales，fri_sales，sat_sales limit 100;,Fetched 6 row(s) in 0.73s
/root/tpc_ds_test/sql/query/query_s_11.sql,use tpc_test; with ss_items as (select i_item_id item_id ，sum(ss_ext_sales_price) ss_item_rev from store_sales ，item ，date_dim where ss_item_sk = i_item_sk and d_date in (select d_date from date_dim where d_week_seq = (select d_week_seq from date_dim where d_date = 2000-02-12)) and ss_sold_date_sk = d_date_sk group by i_item_id)， cs_items as (select i_item_id item_id ，sum(cs_ext_sales_price) cs_item_rev from catalog_sales ，item ，date_dim where cs_item_sk = i_item_sk and d_date in (select d_date from date_dim where d_week_seq = (select d_week_seq from date_dim where d_date = 2000-02-12)) and cs_sold_date_sk = d_date_sk group by i_item_id)， ws_items as (select i_item_id item_id ，sum(ws_ext_sales_price) ws_item_rev from web_sales ，item ，date_dim where ws_item_sk = i_item_sk and d_date in (select d_date from date_dim where d_week_seq =(select d_week_seq from date_dim where d_date = 2000-02-12)) and ws_sold_date_sk = d_date_sk group by i_item_id) select ss_items.item_id ，ss_item_rev ，ss_item_rev/((ss_item_rev+cs_item_rev+ws_item_rev)/3) * 100 ss_dev ，cs_item_rev ，cs_item_rev/((ss_item_rev+cs_item_rev+ws_item_rev)/3) * 100 cs_dev ，ws_item_rev ，ws_item_rev/((ss_item_rev+cs_item_rev+ws_item_rev)/3) * 100 ws_dev ，(ss_item_rev+cs_item_rev+ws_item_rev)/3 average from ss_items，cs_items，ws_items where ss_items.item_id=cs_items.item_id and ss_items.item_id=ws_items.item_id and ss_item_rev between 0.9 * cs_item_rev and 1.1 * cs_item_rev and ss_item_rev between 0.9 * ws_item_rev and 1.1 * ws_item_rev and cs_item_rev between 0.9 * ss_item_rev and 1.1 * ss_item_rev and cs_item_rev between 0.9 * ws_item_rev and 1.1 * ws_item_rev and ws_item_rev between 0.9 * ss_item_rev and 1.1 * ss_item_rev and ws_item_rev between 0.9 * cs_item_rev and 1.1 * cs_item_rev order by item_id ，ss_item_rev limit 100;,Fetched 0 row(s) in 1.51s
/root/tpc_ds_test/sql/query/query_s_12.sql,use tpc_test; with cs_ui as (select cs_item_sk ，sum(cs_ext_list_price) as sale，sum(cr_refunded_cash+cr_reversed_charge+cr_store_credit) as refund from catalog_sales ，catalog_returns where cs_item_sk = cr_item_sk and cs_order_number = cr_order_number group by cs_item_sk having sum(cs_ext_list_price)>2*sum(cr_refunded_cash+cr_reversed_charge+cr_store_credit))， cross_sales as (select i_product_name product_name ，i_item_sk item_sk ，s_store_name store_name ，s_zip store_zip ，ad1.ca_street_number b_street_number ，ad1.ca_street_name b_street_name ，ad1.ca_city b_city ，ad1.ca_zip b_zip ，ad2.ca_street_number c_street_number ，ad2.ca_street_name c_street_name ，ad2.ca_city c_city ，ad2.ca_zip c_zip ，d1.d_year as syear ，d2.d_year as fsyear ，d3.d_year s2year ，count(*) cnt ，sum(ss_wholesale_cost) s1 ，sum(ss_list_price) s2 ，sum(ss_coupon_amt) s3 FROM store_sales ，store_returns ，cs_ui ，date_dim d1 ，date_dim d2 ，date_dim d3 ，store ，customer ，customer_demographics cd1 ，customer_demographics cd2 ，promotion ，household_demographics hd1 ，household_demographics hd2 ，customer_address ad1 ，customer_address ad2 ，income_band ib1 ，income_band ib2 ，item WHERE ss_store_sk = s_store_sk AND ss_sold_date_sk = d1.d_date_sk AND ss_customer_sk = c_customer_sk AND ss_cdemo_sk= cd1.cd_demo_sk AND ss_hdemo_sk = hd1.hd_demo_sk AND ss_addr_sk = ad1.ca_address_sk and ss_item_sk = i_item_sk and ss_item_sk = sr_item_sk and ss_ticket_number = sr_ticket_number and ss_item_sk = cs_ui.cs_item_sk and c_current_cdemo_sk = cd2.cd_demo_sk AND c_current_hdemo_sk = hd2.hd_demo_sk AND c_current_addr_sk = ad2.ca_address_sk and c_first_sales_date_sk = d2.d_date_sk and c_first_shipto_date_sk = d3.d_date_sk and ss_promo_sk = p_promo_sk and hd1.hd_income_band_sk = ib1.ib_income_band_sk and hd2.hd_income_band_sk = ib2.ib_income_band_sk and cd1.cd_marital_status <> cd2.cd_marital_status and i_color in (light，cyan，burnished，green，almond，smoke) and i_current_price between 22 and 22 + 10 and i_current_price between 22 + 1 and 22 + 15 group by i_product_name ，i_item_sk ，s_store_name ，s_zip ，ad1.ca_street_number ，ad1.ca_street_name ，ad1.ca_city ，ad1.ca_zip ，ad2.ca_street_number ，ad2.ca_street_name ，ad2.ca_city ，ad2.ca_zip ，d1.d_year ，d2.d_year ，d3.d_year ) select cs1.product_name ，cs1.store_name ，cs1.store_zip ，cs1.b_street_number ，cs1.b_street_name ，cs1.b_city ，cs1.b_zip ，cs1.c_street_number ，cs1.c_street_name ，cs1.c_city ，cs1.c_zip ，cs1.syear ，cs1.cnt ，cs1.s1 as s11 ，cs1.s2 as s21 ，cs1.s3 as s31 ，cs2.s1 as s12 ，cs2.s2 as s22 ，cs2.s3 as s32 ，cs2.syear ，cs2.cnt from cross_sales cs1，cross_sales cs2 where cs1.item_sk=cs2.item_sk and cs1.syear = 2001 and cs2.syear = 2001 + 1 and cs2.cnt <= cs1.cnt and cs1.store_name = cs2.store_name and cs1.store_zip = cs2.store_zip order by cs1.product_name ，cs1.store_name ，cs2.cnt ，cs1.s1 ，cs2.s1;,Fetched 0 row(s) in 2.32s
/root/tpc_ds_test/sql/query/query_s_13.sql,use tpc_test; with ss as ( select i_manufact_id，sum(ss_ext_sales_price) total_sales from store_sales， date_dim， customer_address， item where i_manufact_id in (select i_manufact_id from item where i_category in (Books)) and ss_item_sk = i_item_sk and ss_sold_date_sk = d_date_sk and d_year = 1999 and d_moy = 4 and ss_addr_sk = ca_address_sk and ca_gmt_offset = -5 group by i_manufact_id)， cs as ( select i_manufact_id，sum(cs_ext_sales_price) total_sales from catalog_sales， date_dim， customer_address， item where i_manufact_id in (select i_manufact_id from item where i_category in (Books)) and cs_item_sk = i_item_sk and cs_sold_date_sk = d_date_sk and d_year = 1999 and d_moy = 4 and cs_bill_addr_sk = ca_address_sk and ca_gmt_offset = -5 group by i_manufact_id)， ws as ( select i_manufact_id，sum(ws_ext_sales_price) total_sales from web_sales， date_dim， customer_address， item where i_manufact_id in (select i_manufact_id from item where i_category in (Books)) and ws_item_sk = i_item_sk and ws_sold_date_sk = d_date_sk and d_year = 1999 and d_moy = 4 and ws_bill_addr_sk = ca_address_sk and ca_gmt_offset = -5 group by i_manufact_id) select i_manufact_id ，sum(total_sales) total_sales from (select * from ss union all select * from cs union all select * from ws) tmp1 group by i_manufact_id order by total_sales limit 100;,Fetched 0 row(s) in 0.96s
/root/tpc_ds_test/sql/query/query_s_14.sql,use tpc_test; select c_last_name ，c_first_name ，ca_city ，bought_city ，ss_ticket_number ，amt，profit from (select ss_ticket_number ，ss_customer_sk ，ca_city bought_city ，sum(ss_coupon_amt) amt ，sum(ss_net_profit) profit from store_sales，date_dim，store，household_demographics，customer_address where store_sales.ss_sold_date_sk = date_dim.d_date_sk and store_sales.ss_store_sk = store.s_store_sk and store_sales.ss_hdemo_sk = household_demographics.hd_demo_sk and store_sales.ss_addr_sk = customer_address.ca_address_sk and (household_demographics.hd_dep_count = 3 or household_demographics.hd_vehicle_count= 1) and date_dim.d_dow in (6，0) and date_dim.d_year in (1999，1999+1，1999+2) and store.s_city in (Midway，Fairview，Fairview，Midway，Fairview) group by ss_ticket_number，ss_customer_sk，ss_addr_sk，ca_city) dn，customer，customer_address current_addr where ss_customer_sk = c_customer_sk and customer.c_current_addr_sk = current_addr.ca_address_sk and current_addr.ca_city <> bought_city order by c_last_name ，c_first_name ，ca_city ，bought_city ，ss_ticket_number limit 100;,Fetched 100 row(s) in 1.25s
/root/tpc_ds_test/sql/query/query_s_15.sql,use tpc_test; select substr(w_warehouse_name，1，20) ，sm_type ，web_name ，sum(case when (ws_ship_date_sk - ws_sold_date_sk <= 30 ) then 1 else 0 end) as 30 days ，sum(case when (ws_ship_date_sk - ws_sold_date_sk > 30) and (ws_ship_date_sk - ws_sold_date_sk <= 60) then 1 else 0 end ) as 31-60 days ，sum(case when (ws_ship_date_sk - ws_sold_date_sk > 60) and (ws_ship_date_sk - ws_sold_date_sk <= 90) then 1 else 0 end) as 61-90 days ，sum(case when (ws_ship_date_sk - ws_sold_date_sk > 90) and (ws_ship_date_sk - ws_sold_date_sk <= 120) then 1 else 0 end) as 91-120 days ，sum(case when (ws_ship_date_sk - ws_sold_date_sk > 120) then 1 else 0 end) as >120 days from web_sales ，warehouse ，ship_mode ，web_site ，date_dim where d_month_seq between 1217 and 1217 + 11 and ws_ship_date_sk = d_date_sk and ws_warehouse_sk = w_warehouse_sk and ws_ship_mode_sk = sm_ship_mode_sk and ws_web_site_sk = web_site_sk group by substr(w_warehouse_name，1，20) ，sm_type ，web_name order by substr(w_warehouse_name，1，20) ，sm_type ，web_name limit 100;,Fetched 100 row(s) in 1.16s
/root/tpc_ds_test/sql/query/query_s_16.sql,use tpc_test; select * from (select i_manager_id ，sum(ss_sales_price) sum_sales ，avg(sum(ss_sales_price)) over (partition by i_manager_id) avg_monthly_sales from item ，store_sales ，date_dim ，store where ss_item_sk = i_item_sk and ss_sold_date_sk = d_date_sk and ss_store_sk = s_store_sk and d_month_seq in (1181，1181+1，1181+2，1181+3，1181+4，1181+5，1181+6，1181+7，1181+8，1181+9，1181+10，1181+11) and (( i_category in (Books，Children，Electronics) and i_class in (personal，portable，reference，self-help) and i_brand in (scholaramalgamalg #14，scholaramalgamalg #7， exportiunivamalg #9，scholaramalgamalg #9)) or( i_category in (Women，Music，Men) and i_class in (accessories，classical，fragrances，pants) and i_brand in (amalgimporto #1，edu packscholar #1，exportiimporto #1， importoamalg #1))) group by i_manager_id， d_moy) tmp1 where case when avg_monthly_sales > 0 then abs (sum_sales - avg_monthly_sales) / avg_monthly_sales else null end > 0.1 order by i_manager_id ，avg_monthly_sales ，sum_sales limit 100;,Fetched 0 row(s) in 0.84s
/root/tpc_ds_test/sql/query/query_s_17.sql,use tpc_test; select cd_gender， cd_marital_status， cd_education_status， count(*) cnt1， cd_purchase_estimate， count(*) cnt2， cd_credit_rating， count(*) cnt3 from customer c，customer_address ca，customer_demographics where c.c_current_addr_sk = ca.ca_address_sk and ca_state in (IN，VA，MS) and cd_demo_sk = c.c_current_cdemo_sk and exists (select * from store_sales，date_dim where c.c_customer_sk = ss_customer_sk and ss_sold_date_sk = d_date_sk and d_year = 2002 and d_moy between 2 and 2+2) and (not exists (select * from web_sales，date_dim where c.c_customer_sk = ws_bill_customer_sk and ws_sold_date_sk = d_date_sk and d_year = 2002 and d_moy between 2 and 2+2) and not exists (select * from catalog_sales，date_dim where c.c_customer_sk = cs_ship_customer_sk and cs_sold_date_sk = d_date_sk and d_year = 2002 and d_moy between 2 and 2+2)) group by cd_gender， cd_marital_status， cd_education_status， cd_purchase_estimate， cd_credit_rating order by cd_gender， cd_marital_status， cd_education_status， cd_purchase_estimate， cd_credit_rating limit 100;,Fetched 100 row(s) in 0.99s
/root/tpc_ds_test/sql/query/query_s_18.sql,use tpc_test; with ss as ( select i_item_id，sum(ss_ext_sales_price) total_sales from store_sales， date_dim， customer_address， item where i_item_id in (select i_item_id from item where i_category in (Shoes)) and ss_item_sk = i_item_sk and ss_sold_date_sk = d_date_sk and d_year = 2001 and d_moy = 10 and ss_addr_sk = ca_address_sk and ca_gmt_offset = -6 group by i_item_id)， cs as ( select i_item_id，sum(cs_ext_sales_price) total_sales from catalog_sales， date_dim， customer_address， item where i_item_id in (select i_item_id from item where i_category in (Shoes)) and cs_item_sk = i_item_sk and cs_sold_date_sk = d_date_sk and d_year = 2001 and d_moy = 10 and cs_bill_addr_sk = ca_address_sk and ca_gmt_offset = -6 group by i_item_id)， ws as ( select i_item_id，sum(ws_ext_sales_price) total_sales from web_sales， date_dim， customer_address， item where i_item_id in (select i_item_id from item where i_category in (Shoes)) and ws_item_sk = i_item_sk and ws_sold_date_sk = d_date_sk and d_year = 2001 and d_moy = 10 and ws_bill_addr_sk = ca_address_sk and ca_gmt_offset = -6 group by i_item_id) select i_item_id ，sum(total_sales) total_sales from (select * from ss union all select * from cs union all select * from ws) tmp1 group by i_item_id order by i_item_id ，total_sales limit 100;,Fetched 0 row(s) in 0.90s
